,time,amp,number,condition
0,0.092975,0.02681861746623715,0,baseline
1,0.184875,0.02345805371507692,1,baseline
2,0.241,0.025994953786489416,2,baseline
3,0.306025,0.025138337754736395,3,baseline
4,0.39385,0.02701630049608228,4,baseline
5,0.436325,0.02181071782022559,5,baseline
6,0.5556,0.021942509908538188,6,baseline
7,0.60745,0.027378711857516835,7,baseline
8,0.706575,0.023853418602859167,8,baseline
9,0.8379,0.023853419777812634,9,baseline
10,0.93535,0.019273828292948103,10,baseline
11,0.9766,0.024215829941751865,11,baseline
12,1.05735,0.024380566912334367,12,baseline
13,1.123475,0.027444607814685162,13,baseline
14,1.184525,0.021975453947025825,14,baseline
15,1.1958,0.02668680139256485,15,baseline
16,1.348025,0.02158009410278028,16,baseline
17,1.362,0.02401813119623719,17,baseline
18,1.5084,0.02622558129222441,18,baseline
19,1.602,0.020262229692250333,19,baseline
20,1.71375,0.019570348380658853,20,baseline
21,1.785325,0.02045990964626776,21,baseline
22,1.863525,0.022140189452105052,22,baseline
23,1.922125,0.021547150488626987,23,baseline
24,2.02055,0.023919314120056656,24,baseline
25,2.126275,0.022766179104551587,25,baseline
26,2.1814,0.02322742788999521,26,baseline
27,2.31825,0.017857122311615847,27,baseline
28,2.4507,0.018219535658467123,28,baseline
29,2.48295,0.01963623885375798,29,baseline
30,2.607325,0.023886369272396624,30,baseline
31,2.65295,0.02088821622002124,31,baseline
32,2.73285,0.025138338578653663,32,baseline
33,2.883975,0.017758281004417675,33,baseline
34,2.97175,0.018285432266410884,34,baseline
35,3.003425,0.022370816640863378,35,baseline
36,3.120375,0.022535555538857555,36,baseline
37,3.14715,0.024677076120466657,37,baseline
38,3.185275,0.02500654547218173,38,baseline
39,3.284725,0.024413509587516535,39,baseline
40,3.4152,0.021514203804653853,40,baseline
41,3.44915,0.02138241157425269,41,baseline
42,3.57505,0.024380569450482725,42,baseline
43,3.712525,0.024973574625530626,43,baseline
44,3.81845,0.021810726887252052,44,baseline
45,3.8444,0.027642277379241298,45,baseline
46,3.93905,0.02639031581869955,46,baseline
47,4.023475,0.02589611851408613,47,baseline
48,4.115425,0.018219535208070625,48,baseline
49,4.1849,0.020888217021256317,49,baseline
50,4.334775,0.018779631924814133,50,baseline
51,4.432825,0.016703987539985365,51,baseline
52,4.447025,0.019899804886282513,52,baseline
53,4.598625,0.01864784344369186,53,baseline
54,4.69145,0.027609347135720164,54,baseline
55,4.7498,0.021217684110011126,55,baseline
56,4.864525,0.020987058114785073,56,baseline
57,4.957225,0.02118474236954293,57,baseline
58,5.0977,0.01917499138511647,58,baseline
59,5.1212,0.02391931333395969,59,baseline
60,5.243,0.025896078648093068,60,baseline
61,5.34115,0.026555051812794273,61,baseline
62,5.356975,0.028927193453181177,62,baseline
63,5.45035,0.021382415604419558,63,baseline
64,5.57435,0.027543453856321842,64,baseline
65,5.649725,0.02220608469669061,65,baseline
66,5.66245,0.025467787480156767,66,baseline
67,5.79265,0.02299680707785179,67,baseline
68,5.800975,0.021810699471616846,68,baseline
69,5.946125,0.022897964893741407,69,baseline
70,6.0384,0.020657594584854944,70,baseline
71,6.0575,0.02770817838120665,71,baseline
72,6.1586,0.027246931663420182,72,baseline
73,6.17335,0.024874753132881566,73,baseline
74,6.296175,0.022436710983746333,74,baseline
75,6.30265,0.026390273598673075,75,baseline
76,6.424125,0.02721398491290028,76,baseline
77,6.511975,0.02322743290666196,77,baseline
78,6.567725,0.023227433797646357,78,baseline
79,6.620075,0.023425114921273416,79,baseline
80,6.7123,0.021711883015558264,80,baseline
81,6.74345,0.024182882145064144,81,baseline
82,6.814675,0.021876618042538598,82,baseline
83,6.90335,0.028828373979776,83,baseline
84,6.9214,0.0292237139385908,84,baseline
85,7.03595,0.023293329399628915,85,baseline
86,7.11465,0.019998657452800717,86,baseline
87,7.168075,0.021514206282088444,87,baseline
88,7.278425,0.02246965975820292,88,baseline
89,7.383625,0.02026223509254288,89,baseline
90,7.441725,0.025368968974388673,90,baseline
91,7.459925,0.02563252829018081,91,baseline
92,7.545475,0.02263439113382082,92,baseline
93,7.6265,0.025863169636532235,93,baseline
94,7.727525,0.021744833034512134,94,baseline
95,7.831675,0.020954114016534797,95,baseline
96,7.876325,0.02490771301347483,96,baseline
97,7.9867,0.02197546552125229,97,baseline
98,8.004025,0.027807014217856474,98,baseline
99,8.13525,0.02375458625665927,99,baseline
100,8.1642,0.02223902651618148,100,baseline
101,8.275825,0.02451235664927376,101,baseline
102,8.33535,0.022469663336161294,102,baseline
103,8.45225,0.021250638975900293,103,baseline
104,8.529725,0.020064552486076526,104,baseline
105,8.544375,0.022206074157658406,105,baseline
106,8.65325,0.025566656482264194,106,baseline
107,8.6838,0.02391931248285717,107,baseline
108,8.77565,0.023128597366840586,108,baseline
109,8.902025,0.024479417168999484,109,baseline
110,8.992575,0.02362279878491147,110,baseline
111,9.062325,0.020657594357544773,111,baseline
112,9.209175,0.028202354194257095,112,baseline
113,9.320575,0.02573138942218367,113,baseline
114,9.337775,0.02724692206724222,114,baseline
115,9.476725,0.023359224439454596,115,baseline
116,9.59135,0.02520424277774891,116,baseline
117,9.69025,0.021052959716441833,117,baseline
118,9.748875,0.02082232971371689,118,baseline
119,9.8951,0.020196343036103848,119,baseline
120,9.916275,0.02217313540495036,120,baseline
