,amp,time,bout,n,condition
0,-0.06195210645816131,0.011375,0,0,cold
1,-0.07576760906805857,0.010475,0,1,cold
2,-0.08251089008750453,0.0098,0,2,cold
3,-0.09517510075300431,0.00955,0,3,cold
4,-0.09501063048487132,0.0093,0,4,cold
5,-0.10323414388335914,0.009275,0,5,cold
6,-0.09994473852596858,0.009125000000000001,0,6,cold
7,-0.10422096549005228,0.00895,0,7,cold
8,-0.09681980343396929,0.009049999999999999,0,8,cold
9,-0.10964848432251678,0.009075,0,9,cold
10,-0.10964848432251678,0.009000000000000001,0,10,cold
11,-0.10487884656104626,0.009025,0,11,cold
12,-0.10290520334774089,0.008924999999999999,0,12,cold
13,-0.11425365181092217,0.008875000000000001,0,13,cold
14,-0.11310235993932316,0.008924999999999999,0,14,cold
0,-0.06260998753583065,0.011474999999999999,1,0,cold
1,-0.07412290637875085,0.010374999999999999,1,1,cold
2,-0.07297161449585551,0.0097,1,2,cold
3,-0.08185300901291423,0.009425,1,3,cold
4,-0.08497794411629342,0.009225,1,4,cold
5,-0.09221463592559734,0.009375000000000001,1,5,cold
6,-0.10372755468673597,0.009049999999999999,1,6,cold
7,-0.10734590057631138,0.009000000000000001,1,7,cold
8,-0.09813556557826242,0.008924999999999999,1,8,cold
9,-0.11359577074147811,0.009000000000000001,1,9,cold
10,-0.11458259234560306,0.008775,1,10,cold
11,-0.11277341940451896,0.00885,1,11,cold
12,-0.11129318699756177,0.00875,1,12,cold
13,-0.11869434902679346,0.008625,1,13,cold
14,-0.1137602410088494,0.008725,1,14,cold
0,-0.059813992955047066,0.010925,2,0,cold
1,-0.0721492631507391,0.01035,2,1,cold
2,-0.08283983062476083,0.0098,2,2,cold
3,-0.09681980343396929,0.0094,2,3,cold
4,-0.09221463592559734,0.0092,2,4,cold
5,-0.10356308441895043,0.009125000000000001,2,5,cold
6,-0.10915507351987055,0.008975,2,6,cold
7,-0.11869434902679346,0.008924999999999999,2,7,cold
8,-0.1162272950185955,0.0088,2,8,cold
9,-0.1201745814309664,0.008725,2,9,cold
10,-0.12494421917392198,0.008775,2,10,cold
11,-0.11474706261293321,0.008675,2,11,cold
12,-0.12001011116386379,0.008625,2,12,cold
13,-0.1362926675731181,0.008725,2,13,cold
14,-0.11869434902679346,0.00885,2,14,cold
15,-0.11852987875962856,0.0087,2,15,cold
0,-0.06803750642277673,0.0109,3,0,cold
1,-0.0920501656573453,0.010175,3,1,cold
2,-0.0917212251208214,0.009649999999999999,3,2,cold
3,-0.09665533316590269,0.009250000000000001,3,3,cold
4,-0.10553672763193234,0.009049999999999999,3,4,cold
5,-0.12165481383457827,0.008975,3,5,cold
6,-0.10964848432251678,0.008775,3,6,cold
7,-0.1262599813088782,0.00875,3,7,cold
8,-0.11935223009538395,0.0088,3,8,cold
9,-0.12642445157571625,0.0087,3,9,cold
10,-0.1191877598282467,0.008775,3,10,cold
11,-0.12839809477722627,0.00865,3,11,cold
12,-0.12642445157571625,0.008625,3,12,cold
13,-0.1408978350298294,0.00855,3,13,cold
14,-0.1274112731765975,0.00865,3,14,cold
0,-0.07099797126730906,0.010624999999999999,4,0,cold
1,-0.08218194955022234,0.009975000000000001,4,1,cold
2,-0.0984645061142691,0.00945,4,2,cold
3,-0.1050433168287779,0.009250000000000001,4,3,cold
4,-0.1242863381062762,0.009000000000000001,4,4,cold
5,-0.13382561357615333,0.008924999999999999,4,5,cold
6,-0.12297057597064998,0.00885,4,6,cold
7,-0.12922044611089045,0.008625,4,7,cold
8,-0.1219837543686379,0.00865,4,8,cold
9,-0.13102961904433233,0.00865,4,9,cold
10,-0.1387597215684815,0.0086,4,10,cold
11,-0.13464796490865244,0.008575,4,11,cold
12,-0.1265889218425473,0.00855,4,12,cold
13,-0.1435293592882856,0.008525,4,13,cold
14,-0.13958207289991229,0.008425,4,14,cold
0,-0.07708337121904377,0.01085,5,0,cold
1,-0.0930369872667586,0.009925,5,1,cold
2,-0.09879344665024906,0.0095,5,2,cold
3,-0.1195167003625143,0.0092,5,3,cold
4,-0.12231269490266974,0.0089,5,4,cold
5,-0.12116140303343675,0.008924999999999999,5,5,cold
6,-0.13596372704028184,0.00885,5,6,cold
7,-0.12872703531071303,0.008725,5,7,cold
8,-0.1427070079577157,0.0086,5,8,cold
9,-0.13102961904433233,0.0087,5,9,cold
10,-0.13974654316617702,0.008575,5,10,cold
11,-0.14023995396492814,0.008475,5,11,cold
12,-0.14254253769158015,0.008575,5,12,cold
13,-0.13711501890508415,0.008425,5,13,cold
14,-0.14237806742543743,0.008375,5,14,cold
