,amp,time,bout,n,condition
0,-0.061458695649843784,0.00805,0,0,hot
1,-0.06918879830700517,0.0074,0,1,hot
2,-0.08218194955022234,0.007,0,2,hot
3,-0.09665533316590269,0.0067,0,3,hot
4,-0.10438543575781087,0.006525,0,4,hot
5,-0.11359577074147811,0.00655,0,5,hot
6,-0.11441812207826604,0.006500000000000001,0,6,hot
7,-0.12165481383457827,0.0064,0,7,hot
8,-0.12379292730546862,0.00635,0,8,hot
9,-0.12675339210937134,0.0063750000000000005,0,9,hot
10,-0.13004279744437877,0.006275,0,10,hot
11,-0.13974654316617702,0.006275,0,11,hot
12,-0.13711501890508415,0.006225,0,12,hot
13,-0.13892419183478197,0.0062,0,13,hot
14,-0.14369382955437798,0.0062,0,14,hot
0,-0.06474810103756491,0.007925,1,0,hot
1,-0.07708337121904377,0.007375,1,1,hot
2,-0.09369486833956872,0.006875,1,2,hot
3,-0.10339861415115814,0.0066,1,3,hot
4,-0.1117865977999423,0.00655,1,4,hot
5,-0.12050352196515093,0.006425,1,5,hot
6,-0.1201745814309664,0.0064,1,6,hot
7,-0.12494421917392198,0.006325,1,7,hot
8,-0.13448349464216683,0.0063,1,8,hot
9,-0.13333220277656876,0.006275,1,9,hot
10,-0.1362926675731181,0.0062,1,10,hot
11,-0.14500959168285746,0.00625,1,11,hot
12,-0.14073336476361484,0.006175,1,12,hot
13,-0.14632535381087483,0.006175,1,13,hot
14,-0.14533853221490514,0.006175,1,14,hot
0,-0.07297161449585551,0.0079,2,0,hot
1,-0.08481347384775301,0.007125,2,1,hot
2,-0.10076708986556765,0.006775,2,2,hot
3,-0.11688517608759993,0.00655,2,3,hot
4,-0.12346398677156206,0.00635,2,4,hot
5,-0.12856256504397315,0.0063,2,5,hot
6,-0.130865148777691,0.006275,2,6,hot
7,-0.13958207289991229,0.006175,2,7,hot
8,-0.14632535381087483,0.0062,2,8,hot
9,-0.14451618088473175,0.006175,2,9,hot
10,-0.1502726401921446,0.0061,2,10,hot
11,-0.15273969417830985,0.00605,2,11,hot
12,-0.15191734284977057,0.006025,2,12,hot
13,-0.15701592108376233,0.006,2,13,hot
14,-0.154713337366058,0.006025,2,14,hot
0,-0.07741231175672594,0.00785,3,0,hot
1,-0.0846490035792061,0.00715,3,1,hot
2,-0.10652354923805876,0.006625,3,2,hot
3,-0.125108689440816,0.00635,3,3,hot
4,-0.1295493866443069,0.00625,3,4,hot
5,-0.13777289997052872,0.0063,3,5,hot
6,-0.13744395943782067,0.006225,3,6,hot
7,-0.14418724035261188,0.00615,3,7,hot
8,-0.14928581859721932,0.00615,3,8,hot
9,-0.15635804002170808,0.006025,3,9,hot
10,-0.15257522391261663,0.0060750000000000005,3,10,hot
11,-0.15339757524100972,0.006025,3,11,hot
12,-0.1614566182495414,0.0060750000000000005,3,12,hot
13,-0.15537121842840615,0.005975,3,13,hot
14,-0.15833168320751734,0.006,3,14,hot
