,time,amp,number,rate
0,4.2,1.71093612837309,0,0.2
1,8.96,1.491250743581734,1,0.2
2,13.71,1.39982525664976,2,0.2
3,18.47,1.3358603050305768,3,0.2
4,23.23,1.2894898522638374,4,0.2
5,28.0,1.3271450645870237,5,0.2
6,32.75,1.290640829756069,6,0.2
7,32.75,1.288503194448906,7,0.2
8,37.51,1.282090252139867,8,0.2
9,42.27,1.2544653236216425,9,0.2
10,47.03,1.226018220579827,10,0.2
11,51.79,1.2462435439451507,11,0.2
12,56.55,1.2587405403170997,12,0.2
13,61.31,1.2585761281583507,13,0.2
14,66.07,1.245421400632538,14,0.2
15,70.82,1.2173031998078252,15,0.2
16,75.59,1.2048062057440019,16,0.2
