,time,amp,number,rate
0,2.9,1.7398764612016397,0,1
1,3.88,1.4381378901250477,1,1
2,4.87,1.3373396914834763,2,1
3,5.85,1.2617000648023222,3,1
4,6.85,1.2090811394246785,4,1
5,6.85,1.1995439977032332,5,1
6,7.83,1.1852382099276983,6,1
7,8.82,1.1786608311043174,7,1
8,8.82,1.1798118654478675,8,1
9,9.8,1.1474183715617885,9,1
10,10.79,1.0859201303236778,10,1
11,11.78,1.0872355363702573,11,1
12,12.77,1.1012123877591309,12,1
13,13.76,1.0790138045029691,13,1
14,14.74,1.0377409230512538,14,1
15,15.74,1.0380697484651817,15,1
16,16.72,1.0457981240328205,16,1
17,17.71,1.0349455019881735,17,1
18,17.71,1.0365898367740587,18,1
19,18.7,1.0022231696828898,19,1
20,19.69,0.9943303142211197,20,1
21,20.68,1.0114314183509021,21,1
22,21.66,1.0018942692788162,22,1
23,21.66,1.0037030375423721,23,1
24,22.65,0.9729539327576393,24,1
25,23.64,0.947466687636194,25,1
26,24.63,0.9842998108984913,26,1
27,25.62,0.9811755799407031,27,1
28,26.6,0.9619368476164532,28,1
29,27.59,0.921157273170662,29,1
30,28.58,0.9614435134471245,30,1
31,29.57,0.9607857872209145,31,1
32,29.57,0.9607857872209145,32,1
33,30.56,0.9392449718573732,33,1
34,31.54,0.9070159558884358,34,1
35,31.54,0.9060293550016476,35,1
36,32.54,0.9377650242726011,36,1
37,33.52,0.9519063378034599,37,1
38,34.51,0.9302011023944621,38,1
39,35.49,0.9274056815887154,39,1
40,36.49,0.9251036204632144,40,1
41,37.48,0.9369428525874037,41,1
42,38.46,0.9178685499210179,42,1
43,39.45,0.9208283125956503,43,1
44,39.45,0.9198417117298748,44,1
45,40.44,0.9004385547400664,45,1
46,41.43,0.9244458731226656,46,1
47,42.41,0.9080025156974224,47,1
48,42.41,0.9033983782711834,48,1
49,43.4,0.9076736144297384,49,1
50,44.39,0.8918879836861717,50,1
51,45.38,0.9096468226390115,51,1
52,46.37,0.8978076142018985,52,1
53,47.35,0.91507311326925,53,1
54,47.35,0.9168818815170595,54,1
55,48.35,0.8836662857577615,55,1
56,49.33,0.9050426751547025,56,1
57,50.32,0.8854750871507977,57,1
