,time,amp,number,rate
0,3.08,1.278920414782898,0,2_b_
1,3.54,1.07152361742908,1,2_b_
2,4.01,1.036162556999805,2,2_b_
3,4.48,0.9988278319946375,3,2_b_
4,4.95,0.9618220395727322,4,2_b_
5,5.41,0.9452105492882674,5,2_b_
6,5.89,0.8909353708549428,6,2_b_
7,6.35,0.8994878311547589,7,2_b_
8,6.35,0.8958694850845674,8,2_b_
9,6.35,0.8930734903952009,9,2_b_
10,6.82,0.8687318898593297,10,2_b_
11,7.29,0.866100367333611,11,2_b_
12,7.76,0.8537650979766868,12,2_b_
13,8.22,0.8205421082649598,13,2_b_
14,8.23,0.7758061936726423,14,2_b_
15,8.69,0.8004767351694257,15,2_b_
16,9.16,0.8116607168709549,16,2_b_
17,9.63,0.7848520630710377,17,2_b_
18,10.1,0.7802468975442552,18,2_b_
19,10.57,0.7708720942368146,19,2_b_
20,11.03,0.8299169233256407,20,2_b_
21,11.5,0.7202152536374218,21,2_b_
22,11.5,0.7185705509035611,22,2_b_
23,11.97,0.7591947086493289,23,2_b_
24,12.44,0.7562342441573269,24,2_b_
25,12.91,0.7304124159363233,25,2_b_
26,12.91,0.7292611240161394,26,2_b_
27,13.37,0.7415963928649173,27,2_b_
28,13.85,0.692913194755513,28,2_b_
29,13.85,0.6899527298347392,29,2_b_
30,14.31,0.7320571205035387,30,2_b_
31,14.78,0.6899527320351468,31,2_b_
32,15.25,0.7192284411531233,32,2_b_
33,15.72,0.7103470472742652,33,2_b_
34,15.72,0.7016301227402636,34,2_b_
35,16.18,0.6721899454455543,35,2_b_
36,16.65,0.6633085535791587,36,2_b_
37,17.12,0.6715320658155577,37,2_b_
38,17.59,0.6565652728856043,38,2_b_
39,18.05,0.6575520930625078,39,2_b_
40,18.52,0.6465325866232156,40,2_b_
41,18.99,0.7085378798653199,41,2_b_
42,19.46,0.6496575208505577,42,2_b_
43,19.93,0.6361709626107789,43,2_b_
44,20.4,0.7075510606438667,44,2_b_
45,20.87,0.6244935730460085,45,2_b_
46,21.33,0.6299210925548397,46,2_b_
47,21.8,0.6266316871231402,47,2_b_
48,22.27,0.6128161866079302,48,2_b_
49,22.74,0.6177502944511272,49,2_b_
50,22.74,0.6402827219295776,50,2_b_
51,23.21,0.6223554607083424,51,2_b_
52,23.68,0.6670913765333851,52,2_b_
53,24.14,0.6098557214691718,53,2_b_
54,24.14,0.6115004241995848,54,2_b_
55,24.62,0.6223554652959494,55,2_b_
56,25.08,0.5935731672613775,56,2_b_
57,25.55,0.596698102695282,57,2_b_
58,26.02,0.593408696957659,58,2_b_
59,26.48,0.6027835038525537,59,2_b_
60,26.95,0.5896258804969347,60,2_b_
61,27.42,0.5861720069522167,61,2_b_
62,27.89,0.591763995876093,62,2_b_
63,28.36,0.5841983632548451,63,2_b_
64,28.36,0.5874877687146702,64,2_b_
65,28.82,0.5740012073217986,65,2_b_
66,29.29,0.5712052126555435,66,2_b_
67,29.76,0.5924218772719643,67,2_b_
68,30.23,0.5777840248970935,68,2_b_
69,30.7,0.5795931980195489,69,2_b_
70,31.17,0.5740012097239138,70,2_b_
71,31.64,0.5815668405297104,71,2_b_
72,32.1,0.5629817012868445,72,2_b_
73,32.57,0.5702183940182127,73,2_b_
74,33.04,0.5618304096921274,74,2_b_
75,33.51,0.5628172317011308,75,2_b_
76,33.97,0.5486727900588276,76,2_b_
77,34.44,0.567586869762504,77,2_b_
78,34.91,0.5496596116128576,78,2_b_
79,35.38,0.5582120640886001,79,2_b_
80,35.85,0.5471925562409751,80,2_b_
81,35.85,0.5480149076038309,81,2_b_
82,36.32,0.5503174912520404,82,2_b_
83,36.78,0.5373243413532742,83,2_b_
84,37.26,0.5578831241942486,84,2_b_
85,37.26,0.5573897133754783,85,2_b_
86,37.72,0.5513043129160113,86,2_b_
87,38.19,0.5424229200783328,87,2_b_
88,38.66,0.5527845466032923,88,2_b_
89,39.13,0.5376532834723232,89,2_b_
90,39.59,0.5332125865894446,90,2_b_
91,40.07,0.5573897152796505,91,2_b_
92,40.53,0.5391335150879569,92,2_b_
93,41.0,0.5360085808518399,93,2_b_
94,41.47,0.5348572884042639,94,2_b_
95,41.94,0.5386401057820168,95,2_b_
96,42.41,0.5355151694139556,96,2_b_
97,42.88,0.5389690456821158,97,2_b_
98,43.34,0.523508840794126,98,2_b_
99,43.81,0.5254824852724855,99,2_b_
100,44.28,0.5197260253887804,100,2_b_
101,44.75,0.526140366807154,101,2_b_
102,45.21,0.5240022533112485,102,2_b_
103,45.68,0.5088709887863403,103,2_b_
104,46.15,0.525153543862216,104,2_b_
105,46.62,0.518410264293487,105,2_b_
106,47.09,0.5119959233274488,106,2_b_
107,47.56,0.5251535451176003,107,2_b_
108,48.03,0.5197260253627681,108,2_b_
109,48.49,0.5131472159247303,109,2_b_
110,48.96,0.5182457936602441,110,2_b_
111,49.43,0.5134761562661113,111,2_b_
112,49.9,0.5139695650997952,112,2_b_
113,50.37,0.5144629770812894,113,2_b_
114,50.84,0.5082131071123471,114,2_b_
115,51.3,0.5019632386926641,115,2_b_
116,51.77,0.5096933399967375,116,2_b_
117,52.24,0.511009100923117,117,2_b_
118,52.71,0.49916724368804527,118,2_b_
119,53.18,0.4948910163846063,119,2_b_
120,53.18,0.49735807046878316,120,2_b_
121,53.64,0.49900277321707204,121,2_b_
122,54.11,0.4897924384131958,122,2_b_
