m1,tau1,m2,tau2,steady state,rsq,condition,m1m2,m_div_c,peak
7.91,0.27,24.53,2.5,45.21,0.99,4.833,32.44,0.717540367,77.65
16.06,1.84,19.01,1.84,45.31,0.98,4.833,35.07,0.774001324,80.38
13.23,0.67,19.23,3.97,47.09,0.99,4.833,32.46,0.689318327,79.55
18.17,0.51,16.9,4.21,45.71,0.99,4.833,35.07,0.767228178,80.78
,,,,,,,,,
10.57,0.13,17.11,1.48,36.81,0.99,4.75,27.68,0.751969573,64.49
12.83,0.26,13.09,2.97,34.41,0.98,4.75,25.92,0.753269398,60.33
14.45,0.19,13.53,2.88,33.23,0.99,4.75,27.98,0.842010232,61.21
,,,,,,,,,
11.04,0.37,5,10,17.6,0.86,4.583,16.04,0.911363636,33.64
11.88,0.17,8.34,2.02,18.67,0.94,4.583,20.22,1.083020889,38.89
10.33,0.4,5.05,1.76,18.13,0.87,4.583,15.38,0.848317705,33.51
,,,,,,,,,
8.15,0.32,2.15,10,4.91,0.56,4.5,10.3,2.097759674,15.21
4.94,0.32,2.23,10,4.67,0.34,4.5,7.17,1.535331906,11.84
9.08,0.35,1.83,10,4.12,0.84,4.5,10.91,2.648058252,15.03
,,,,,,,,,
