,time,amp,number,condition
0,0.041475,0.024347914451650188,0,dopamine
1,0.166675,0.030739652786284766,1,dopamine
2,0.26155,0.02955355357797751,2,dopamine
3,0.37735,0.02217340849250915,3,dopamine
4,0.3934,0.029553514488854904,4,dopamine
5,0.53095,0.029586502657214298,5,dopamine
6,0.633625,0.03363898857523384,6,dopamine
7,0.801175,0.027346102884091228,7,dopamine
8,0.957875,0.017626711197016642,8,dopamine
9,1.0658,0.024644442906900266,9,dopamine
10,1.147575,0.027840308795089475,10,dopamine
11,1.259025,0.026225899789204865,11,dopamine
12,1.3551,0.02573168856708552,12,dopamine
13,1.5203,0.022634670694633652,13,dopamine
14,1.591,0.026258835592684937,14,dopamine
15,1.64455,0.02701661308025538,15,dopamine
16,1.76645,0.03396845957384864,16,dopamine
17,1.79335,0.03209043350720753,17,dopamine
18,1.945675,0.02994892069819055,18,dopamine
19,2.03675,0.031003212453623696,19,dopamine
20,2.211425,0.024545606332478598,20,dopamine
21,2.230575,0.032914122320525596,21,dopamine
22,2.421225,0.029850077578073564,22,dopamine
23,2.5818,0.025797594298747173,23,dopamine
24,2.685425,0.028202725319063537,24,dopamine
25,2.769225,0.029817123934801404,25,dopamine
26,2.8094,0.029553525198087294,26,dopamine
27,3.06455,0.02260172945823946,27,dopamine
28,3.17495,0.019900059585544194,28,dopamine
29,3.325725,0.02204162262331555,29,dopamine
30,3.48875,0.023820764180954024,30,dopamine
31,3.5177,0.027181349098307606,31,dopamine
32,3.7045,0.024875069515573056,32,dopamine
33,3.86025,0.021646258254947037,33,dopamine
34,3.912025,0.025764631362046875,34,dopamine
35,4.05115,0.029751238729540108,35,dopamine
36,4.188075,0.022404038701938078,36,dopamine
37,4.319725,0.02675305774572634,37,dopamine
38,4.424275,0.022107510729272084,38,dopamine
39,4.56795,0.027313158489584044,39,dopamine
40,4.669475,0.024347918024817505,40,dopamine
41,4.727625,0.024150225660960478,41,dopamine
42,4.856275,0.024216123329096728,42,dopamine
43,4.99465,0.020822580882684738,43,dopamine
44,5.098325,0.026357692443623626,44,dopamine
45,5.205875,0.030344279579832434,45,dopamine
46,5.2208,0.029059295438430888,46,dopamine
47,5.324625,0.02490800282831762,47,dopamine
48,5.41825,0.03143153008371746,48,dopamine
49,5.58355,0.027379055492681603,49,dopamine
50,5.6711,0.030904373930902396,50,dopamine
51,5.835075,0.027939153728522848,51,dopamine
52,5.911175,0.02517158815637377,52,dopamine
53,5.988825,0.02830155254144473,53,dopamine
54,6.081325,0.03578054467379321,54,dopamine
55,6.094775,0.027411933679426514,55,dopamine
56,6.22415,0.02536926444447285,56,dopamine
57,6.340825,0.026061156227050186,57,dopamine
58,6.494775,0.027049580153870934,58,dopamine
59,6.5649,0.02734609576286806,59,dopamine
60,6.69615,0.025138649529623858,60,dopamine
61,6.758525,0.0273460866276104,61,dopamine
62,6.88275,0.033737833874010414,62,dopamine
63,7.000025,0.0304760726377441,63,dopamine
64,7.1305,0.025995273618512726,64,dopamine
65,7.16875,0.031365620886125045,65,dopamine
66,7.28415,0.030443125383361358,66,dopamine
67,7.423975,0.02405139096741804,67,dopamine
68,7.4598,0.022898222148173497,68,dopamine
69,7.577875,0.024809171089492654,69,dopamine
70,7.741025,0.02151446506323651,70,dopamine
71,7.87655,0.02359013510597352,71,dopamine
72,7.9856,0.029421771287289733,72,dopamine
73,8.07175,0.025962318679584206,73,dopamine
74,8.243825,0.025237490672323726,74,dopamine
75,8.3466,0.02352424241037665,75,dopamine
76,8.4738,0.027807357563892965,76,dopamine
77,8.580425,0.023458347024008952,77,dopamine
78,8.730825,0.025402229530760545,78,dopamine
79,8.821825,0.025270430334788152,79,dopamine
80,8.94385,0.022733508080467035,80,dopamine
81,9.041425,0.019603530432123484,81,dopamine
82,9.1879,0.027444943460111504,82,dopamine
83,9.322,0.024249076164656658,83,dopamine
84,9.434725,0.028795775631938025,84,dopamine
85,9.468525,0.028202700561290928,85,dopamine
86,9.600425,0.03298005493951628,86,dopamine
87,9.67855,0.02813682168124365,87,dopamine
88,9.784825,0.029454710010537344,88,dopamine
89,9.859375,0.027148403984356584,89,dopamine
