,amp,time,bout,n,condition
0,-0.05422200378810092,0.01155,0,0,cold
1,-0.06688621453823901,0.0108,0,1,cold
2,-0.06836644696115929,0.010225,0,2,cold
3,-0.07905701444475105,0.009774999999999999,0,3,cold
4,-0.08218194955022234,0.0095,0,4,cold
5,-0.09353039807137611,0.009275,0,5,cold
6,-0.08908970082768239,0.00945,0,6,cold
7,-0.09517510075300431,0.0092,0,7,cold
8,-0.10487884656104626,0.009125,0,8,cold
9,-0.10191838174072496,0.009125,0,9,cold
10,-0.1050433168287779,0.0091,0,10,cold
11,-0.10816825191439461,0.0089,0,11,cold
12,-0.11408918154357142,0.00885,0,12,cold
13,-0.11211553833482854,0.008825,0,13,cold
14,-0.10800378164679153,0.0089,0,14,cold
0,-0.06195210645816131,0.011375,1,0,cold
1,-0.07576760906805857,0.010475,1,1,cold
2,-0.08251089008750453,0.0098,1,2,cold
3,-0.09517510075300431,0.00955,1,3,cold
4,-0.09501063048487132,0.0093,1,4,cold
5,-0.10323414388335914,0.009275,1,5,cold
6,-0.09994473852596858,0.009125,1,6,cold
7,-0.10422096549005228,0.00895,1,7,cold
8,-0.09681980343396929,0.009049999999999999,1,8,cold
9,-0.10964848432251678,0.009075,1,9,cold
0,-0.10964848432251678,0.009,2,0,cold
1,-0.10487884656104626,0.009025,2,1,cold
2,-0.10290520334774089,0.008924999999999999,2,2,cold
3,-0.11425365181092217,0.008875,2,3,cold
4,-0.11310235993932316,0.008924999999999999,2,4,cold
0,-0.06260998753583065,0.011474999999999999,3,0,cold
1,-0.07412290637875085,0.010374999999999999,3,1,cold
2,-0.07297161449585551,0.0097,3,2,cold
3,-0.08185300901291423,0.009425,3,3,cold
4,-0.08497794411629342,0.009225,3,4,cold
5,-0.09221463592559734,0.009375,3,5,cold
6,-0.10372755468673597,0.009049999999999999,3,6,cold
7,-0.10734590057631138,0.009,3,7,cold
8,-0.09813556557826242,0.008924999999999999,3,8,cold
9,-0.11359577074147811,0.009,3,9,cold
10,-0.11458259234560306,0.008775,3,10,cold
11,-0.11277341940451896,0.00885,3,11,cold
12,-0.11129318699756177,0.008749999999999999,3,12,cold
13,-0.11869434902679346,0.008625,3,13,cold
14,-0.1137602410088494,0.008725,3,14,cold
15,-0.059813992955047066,0.010925,3,15,cold
16,-0.0721492631507391,0.01035,3,16,cold
17,-0.08283983062476083,0.0098,3,17,cold
18,-0.09681980343396929,0.009399999999999999,3,18,cold
19,-0.09221463592559734,0.0092,3,19,cold
20,-0.10356308441895043,0.009125,3,20,cold
21,-0.10915507351987055,0.008975,3,21,cold
22,-0.11869434902679346,0.008924999999999999,3,22,cold
23,-0.1162272950185955,0.008799999999999999,3,23,cold
24,-0.1201745814309664,0.008725,3,24,cold
25,-0.12494421917392198,0.008775,3,25,cold
0,-0.11474706261293321,0.008674999999999999,4,0,cold
1,-0.12001011116386379,0.008625,4,1,cold
2,-0.1362926675731181,0.008725,4,2,cold
3,-0.11869434902679346,0.00885,4,3,cold
4,-0.11852987875962856,0.0087,4,4,cold
5,-0.06803750642277673,0.0109,4,5,cold
6,-0.0920501656573453,0.010175,4,6,cold
7,-0.0917212251208214,0.009649999999999999,4,7,cold
8,-0.09665533316590269,0.00925,4,8,cold
9,-0.10553672763193234,0.009049999999999999,4,9,cold
10,-0.12165481383457827,0.008975,4,10,cold
11,-0.10964848432251678,0.008775,4,11,cold
12,-0.1262599813088782,0.008749999999999999,4,12,cold
13,-0.11935223009538395,0.008799999999999999,4,13,cold
14,-0.12642445157571625,0.0087,4,14,cold
15,-0.1191877598282467,0.008775,4,15,cold
16,-0.12839809477722627,0.00865,4,16,cold
17,-0.12642445157571625,0.008625,4,17,cold
18,-0.1408978350298294,0.00855,4,18,cold
19,-0.1274112731765975,0.00865,4,19,cold
